189889	189481
189889	189843
189889	189496
189889	189495
189889	189649
189889	189650
189889	189651
189889	189843
189889	189755
189889	189837
189889	189838
189889	189839
189889	189843
189889	189844
189889	189845
189889	189848
189889	189849
189889	189481
189889	189843
189889	189496
189889	189495
189889	189649
189889	189650
189889	189651
189889	189843
189889	189755
189889	189837
189889	189838
189889	189839
189889	189843
189889	189844
189889	189845
189889	189848
189889	189849
350408	350258
350408	350259
350408	350271
350408	350409
350408	350258
350408	350259
350408	350271
350408	350409
