189891	189464
189891	189683
189891	189763
189891	189464
189891	189683
189891	189763
350410	350000
350410	350364
350410	350015
350410	350014
350410	350170
350410	350171
350410	350172
350410	350178
350410	350276
350410	350358
350410	350359
350410	350360
350410	350364
350410	350365
350410	350366
350410	350369
350410	350370
350410	350000
350410	350364
350410	350015
350410	350014
350410	350170
350410	350171
350410	350172
350410	350178
350410	350276
350410	350358
350410	350359
350410	350360
350410	350364
350410	350365
350410	350366
350410	350369
350410	350370
