189890	189844
189890	189483
189890	189496
189890	189649
189890	189650
189890	189651
189890	189753
189890	189650
189890	189837
189890	189838
189890	189839
189890	189843
189890	189844
189890	189845
189890	189848
189890	189849
189890	189844
189890	189483
189890	189496
189890	189649
189890	189650
189890	189651
189890	189753
189890	189650
189890	189837
189890	189838
189890	189839
189890	189843
189890	189844
189890	189845
189890	189848
189890	189849
350409	350258
350409	350259
350409	350259
350409	350273
350409	350258
350409	350259
350409	350259
350409	350273
